Post_ID,Timestamp,Platform,Content_Type,Category,Likes,Comments,Shares,Views,Saves,Follower_Count,Engagement_Rate,Hour_of_Day,Day_of_Week,Hashtag_Count,Content_Length,Sentiment,Influencer_Tier,Has_Media,Is_Verified,Flag_Engagement_Above_Views,Flag_Engagement_Rate_Outlier,Month
POST_04552,2024-01-01 01:42:00,Instagram,Carousel,Business,8287,247,51,29502,20,223080,3.85,1,Monday,16,985,Positive,Macro,True,False,False,False,1
POST_00210,2024-01-01 09:18:00,Instagram,Carousel,Food,1527,191,7,5460,359,220737,0.78,9,Monday,27,79,Positive,Macro,True,True,False,False,1
POST_01548,2024-01-01 10:58:00,Facebook,Video,Sports,535,178,433,68246,740,428935,0.27,10,Monday,17,554,Neutral,Macro,True,False,False,False,1
POST_01350,2024-01-01 13:12:00,Instagram,Photo,Fitness,9706,35,118,25782,611,64384,15.31,13,Monday,5,1136,Positive,Mid-tier,True,False,False,True,1
POST_02119,2024-01-02 21:41:00,Instagram,Carousel,Entertainment,1874,467,16,30977,688,67464,3.49,21,Tuesday,11,1458,Positive,Mid-tier,True,True,False,False,1
POST_00401,2024-01-02 21:55:00,Instagram,Photo,Business,1867,125,281,44911,286,292298,0.78,21,Tuesday,6,1262,Negative,Macro,True,False,False,False,1
POST_03162,2024-01-03 04:16:00,Instagram,Reel,Education,8387,360,179,13360,945,499770,1.79,4,Wednesday,20,172,Neutral,Macro,True,False,False,False,1
POST_00426,2024-01-03 09:46:00,Facebook,Video,Sports,5540,375,632,73879,402,487579,1.34,9,Wednesday,15,353,Neutral,Macro,True,False,False,False,1
POST_00363,2024-01-03 13:28:00,Facebook,Post,Technology,1048,256,457,75334,393,29036,6.06,13,Wednesday,29,1717,Negative,Micro,True,False,False,False,1
POST_04592,2024-01-04 05:36:00,Instagram,Story,Technology,6145,224,238,45738,517,245871,2.69,5,Thursday,15,1954,Positive,Macro,True,False,False,False,1
POST_00159,2024-01-04 10:49:00,Instagram,Story,Fitness,4399,125,33,21640,787,430456,1.06,10,Thursday,26,1064,Neutral,Macro,True,False,False,False,1
POST_02915,2024-01-04 16:45:00,Instagram,Reel,Food,1974,308,125,21531,662,202126,1.19,16,Thursday,20,175,Positive,Macro,True,False,False,False,1
POST_01750,2024-01-05 14:17:00,Instagram,Carousel,Fitness,1687,73,134,41648,732,117460,1.61,14,Friday,11,1798,Positive,Macro,True,False,False,False,1
POST_03565,2024-01-06 12:07:00,Facebook,Live,Business,1784,227,117,77227,192,414100,0.51,12,Saturday,27,524,Neutral,Macro,True,True,False,False,1
POST_04392,2024-01-06 17:28:00,Facebook,Post,Lifestyle,6896,135,201,65197,354,373777,1.93,17,Saturday,22,1979,Positive,Macro,False,True,False,False,1
POST_04168,2024-01-07 02:55:00,Instagram,Reel,Lifestyle,8448,490,202,29382,993,331405,2.76,2,Sunday,7,53,Positive,Macro,True,True,False,False,1
POST_00013,2024-01-07 05:44:00,TikTok,Video,Fitness,37311,858,4513,439758,2823,458682,9.31,5,Sunday,22,598,Positive,Macro,True,False,False,False,1
POST_00600,2024-01-07 05:55:00,Instagram,Story,Fashion,5138,49,140,47958,245,364057,1.46,5,Sunday,2,915,Positive,Macro,True,False,False,False,1
POST_03649,2024-01-07 07:53:00,Facebook,Story,Travel,4532,332,707,24121,391,479509,1.16,7,Sunday,8,1244,Negative,Macro,True,False,False,False,1
POST_01115,2024-01-07 13:08:00,Facebook,Live,Health,6283,165,569,49857,522,352767,1.99,13,Sunday,10,523,Positive,Macro,True,True,False,False,1
POST_02972,2024-01-08 05:59:00,Instagram,Reel,Travel,545,440,95,46180,238,371362,0.29,5,Monday,6,561,Positive,Macro,True,True,False,False,1
POST_02131,2024-01-08 18:33:00,Instagram,Carousel,Health,6342,62,163,23890,486,44931,14.62,18,Monday,20,537,Positive,Micro,True,False,False,True,1
POST_02226,2024-01-09 00:43:00,Facebook,Live,Entertainment,3270,132,535,10351,754,321725,1.22,0,Tuesday,24,358,Negative,Macro,True,True,False,False,1
POST_02509,2024-01-09 02:24:00,TikTok,Video,Business,33034,309,2036,242685,2609,185278,19.1,2,Tuesday,18,478,Negative,Macro,False,False,False,True,1
POST_00885,2024-01-09 03:27:00,TikTok,Duet,Fashion,8731,994,1938,75043,577,371740,3.14,3,Tuesday,24,491,Neutral,Macro,True,False,False,False,1
POST_01451,2024-01-09 11:12:00,Facebook,Story,Entertainment,5232,366,371,10075,558,257653,2.32,11,Tuesday,11,1512,Positive,Macro,True,False,False,False,1
POST_03402,2024-01-09 12:59:00,Instagram,Story,Technology,8440,165,264,37752,483,477456,1.86,12,Tuesday,3,965,Negative,Macro,True,False,False,False,1
POST_04525,2024-01-09 13:30:00,TikTok,Stitch,Lifestyle,46571,441,758,302431,1829,10027,200.0,13,Tuesday,19,272,Positive,Micro,True,False,False,True,1
POST_00483,2024-01-09 18:55:00,Facebook,Video,Sports,4283,106,38,73605,646,497216,0.89,18,Tuesday,5,291,Positive,Macro,True,True,False,False,1
POST_00147,2024-01-09 21:52:00,Facebook,Video,Gaming,3309,303,203,21871,590,93599,4.08,21,Tuesday,8,347,Negative,Mid-tier,True,True,False,False,1
POST_01364,2024-01-09 22:21:00,Facebook,Live,Business,6830,129,742,57034,78,235288,3.27,22,Tuesday,16,42,Neutral,Macro,True,False,False,False,1
POST_02243,2024-01-10 05:26:00,Facebook,Live,Sports,478,266,811,76686,562,382495,0.41,5,Wednesday,22,490,Positive,Macro,True,False,False,False,1
POST_00471,2024-01-10 14:57:00,Instagram,Photo,Technology,9883,67,77,43316,382,404723,2.48,14,Wednesday,15,695,Negative,Macro,False,False,False,False,1
POST_03823,2024-01-10 21:11:00,TikTok,Stitch,Entertainment,35475,1898,2937,187442,1847,52432,76.88,21,Wednesday,6,87,Positive,Mid-tier,True,False,False,True,1
POST_04447,2024-01-10 21:32:00,Instagram,Photo,Food,5088,262,199,14888,660,435000,1.28,21,Wednesday,9,1786,Neutral,Macro,False,False,False,False,1
POST_02198,2024-01-10 22:53:00,TikTok,Duet,Lifestyle,32338,66,969,479514,2703,279271,11.95,22,Wednesday,18,447,Positive,Macro,True,False,False,False,1
POST_02303,2024-01-11 00:33:00,Facebook,Live,Sports,3204,107,380,57955,489,261013,1.41,0,Thursday,13,573,Positive,Macro,True,False,False,False,1
POST_04612,2024-01-11 11:14:00,Instagram,Story,Health,2366,255,107,32084,535,892,200.0,11,Thursday,21,1100,Neutral,Nano,True,True,False,True,1
POST_03896,2024-01-11 14:24:00,TikTok,Duet,Technology,30187,821,4505,71771,2764,225519,15.75,14,Thursday,5,152,Neutral,Macro,True,False,False,True,1
POST_03661,2024-01-11 22:51:00,Facebook,Post,Food,6580,9,900,31319,646,30230,24.77,22,Thursday,24,1861,Neutral,Micro,True,False,False,True,1
POST_00991,2024-01-12 08:41:00,TikTok,Video,Health,31852,1590,801,323063,616,86675,39.51,8,Friday,28,21,Positive,Mid-tier,True,False,False,True,1
POST_02458,2024-01-12 20:49:00,Facebook,Post,Gaming,6543,54,632,43676,465,374670,1.93,20,Friday,24,789,Positive,Macro,True,False,False,False,1
POST_04902,2024-01-12 20:49:00,Facebook,Live,Business,504,234,46,44411,268,182875,0.43,20,Friday,5,326,Positive,Macro,True,False,False,False,1
POST_00057,2024-01-12 21:46:00,Instagram,Photo,Gaming,5741,410,126,10052,350,259233,2.42,21,Friday,1,1804,Positive,Macro,True,True,False,False,1
POST_01124,2024-01-13 00:33:00,TikTok,Stitch,Fitness,38874,81,4338,232603,1319,286335,15.12,0,Saturday,9,467,Positive,Macro,True,False,False,True,1
POST_00343,2024-01-13 18:18:00,Instagram,Reel,Fitness,1899,280,211,45999,436,351424,0.68,18,Saturday,7,205,Neutral,Macro,True,False,False,False,1
POST_04522,2024-01-14 21:15:00,Facebook,Live,Business,1062,134,81,28161,138,328440,0.39,21,Sunday,29,311,Positive,Macro,True,True,False,False,1
POST_02951,2024-01-15 05:40:00,TikTok,Stitch,Business,19793,1018,4074,257816,1086,295403,8.42,5,Monday,8,20,Neutral,Macro,True,False,False,False,1
POST_04115,2024-01-15 10:52:00,Facebook,Post,Sports,4674,114,267,12139,303,122533,4.13,10,Monday,7,1408,Positive,Macro,True,True,False,False,1
POST_00110,2024-01-16 02:59:00,Instagram,Story,Education,150,43,291,2900,309,235868,0.21,2,Tuesday,25,1100,Positive,Macro,True,False,False,False,1
POST_01086,2024-01-16 06:59:00,Facebook,Video,Technology,286,219,454,69548,168,128453,0.75,6,Tuesday,5,252,Neutral,Macro,True,False,False,False,1
POST_02563,2024-01-16 08:26:00,Instagram,Photo,Technology,9875,148,105,34673,464,240935,4.2,8,Tuesday,20,170,Positive,Macro,True,False,False,False,1
POST_02175,2024-01-16 23:45:00,Instagram,Story,Education,1379,34,296,4199,917,209384,0.82,23,Tuesday,9,231,Positive,Macro,True,False,False,False,1
POST_01046,2024-01-17 07:13:00,Facebook,Video,Education,647,131,266,5057,494,211133,0.49,7,Wednesday,26,492,Neutral,Macro,False,True,False,False,1
